date,time,sec,sat,SNR,EL,res,label,LOS,Multipath,NLOS
2019/10/09,07:18:04.0,285484.0,G05,32.000,34.6 ,8.85,1.0,1,0,0
2019/10/09,07:18:05.0,285485.0,G05,33.000,34.6 ,8.328,1.0,1,0,0
2019/10/09,07:18:06.0,285486.0,G05,34.000,34.6 ,7.677,1.0,1,0,0
2019/10/09,07:18:07.0,285487.0,G05,33.000,34.6 ,7.082,1.0,1,0,0
2019/10/09,07:18:08.0,285488.0,G05,34.000,34.6 ,6.702,1.0,1,0,0
2019/10/09,07:18:09.0,285489.0,G05,34.000,34.6 ,6.395,1.0,1,0,0
2019/10/09,07:18:10.0,285490.0,G05,34.000,34.6 ,6.213,1.0,1,0,0
2019/10/09,07:18:11.0,285491.0,G05,34.000,34.6 ,5.998,1.0,1,0,0
2019/10/09,07:18:12.0,285492.0,G05,33.000,34.6 ,5.946,1.0,1,0,0
2019/10/09,07:18:13.0,285493.0,G05,35.000,34.6 ,5.947,1.0,1,0,0
2019/10/09,07:18:14.0,285494.0,G05,35.000,34.6 ,5.811,1.0,1,0,0
2019/10/09,07:18:15.0,285495.0,G05,36.000,34.6 ,5.912,1.0,1,0,0
2019/10/09,07:18:16.0,285496.0,G05,36.000,34.6 ,6.184,1.0,1,0,0
2019/10/09,07:18:17.0,285497.0,G05,36.000,34.5 ,6.196,1.0,1,0,0
2019/10/09,07:18:18.0,285498.0,G05,35.000,34.5 ,6.027,1.0,1,0,0
2019/10/09,07:18:19.0,285499.0,G05,35.000,34.5 ,6.395,1.0,1,0,0
2019/10/09,07:18:20.0,285500.0,G05,35.000,34.5 ,6.419,1.0,1,0,0
2019/10/09,07:18:21.0,285501.0,G05,35.000,34.5 ,6.382,1.0,1,0,0
2019/10/09,07:18:22.0,285502.0,G05,35.000,34.5 ,6.744,1.0,1,0,0
2019/10/09,07:18:23.0,285503.0,G05,35.000,34.5 ,6.924,1.0,1,0,0
2019/10/09,07:18:24.0,285504.0,G05,35.000,34.5 ,6.841,1.0,1,0,0
2019/10/09,07:18:25.0,285505.0,G05,36.000,34.5 ,7.113,1.0,1,0,0
2019/10/09,07:18:26.0,285506.0,G05,36.000,34.5 ,7.193,1.0,1,0,0
2019/10/09,07:18:27.0,285507.0,G05,35.000,34.5 ,7.014,1.0,1,0,0
2019/10/09,07:18:28.0,285508.0,G05,36.000,34.5 ,6.906,1.0,1,0,0
2019/10/09,07:18:29.0,285509.0,G05,35.000,34.5 ,6.856,1.0,1,0,0
2019/10/09,07:18:30.0,285510.0,G05,35.000,34.5 ,6.618,1.0,1,0,0
2019/10/09,07:18:31.0,285511.0,G05,36.000,34.5 ,6.355,1.0,1,0,0
2019/10/09,07:18:32.0,285512.0,G05,37.000,34.5 ,5.981,1.0,1,0,0
2019/10/09,07:18:33.0,285513.0,G05,37.000,34.5 ,5.844,1.0,1,0,0
2019/10/09,07:18:34.0,285514.0,G05,37.000,34.4 ,5.85,1.0,1,0,0
2019/10/09,07:18:35.0,285515.0,G05,38.000,34.4 ,5.947,1.0,1,0,0
2019/10/09,07:18:36.0,285516.0,G05,39.000,34.4 ,5.754,1.0,1,0,0
2019/10/09,07:18:37.0,285517.0,G05,39.000,34.4 ,5.542,1.0,1,0,0
2019/10/09,07:18:38.0,285518.0,G05,40.000,34.4 ,5.344,1.0,1,0,0
2019/10/09,07:18:39.0,285519.0,G05,39.000,34.4 ,5.67,1.0,1,0,0
2019/10/09,07:18:40.0,285520.0,G05,39.000,34.4 ,5.866,1.0,1,0,0
