date,time,sec,sat,SNR,EL,res,gamma,delta_pr_cp,delta_SNR,label,LOS,Multipath,NLOS
2019/10/09,07:18:15.0,285495.0,G05,49.000,34.6 ,1.013,0.2135,0.7075032629072666,0.0,1.0,1,0,0
2019/10/09,07:18:16.0,285496.0,G05,49.000,34.6 ,1.13,0.11705,0.8257271014153957,0.0,1.0,1,0,0
2019/10/09,07:18:17.0,285497.0,G05,50.000,34.5 ,1.203,0.15473,1.3923064321279526,1.0,1.0,1,0,0
2019/10/09,07:18:18.0,285498.0,G05,50.000,34.5 ,1.271,0.21329,1.3674566335976124,1.0,1.0,1,0,0
2019/10/09,07:18:19.0,285499.0,G05,50.000,34.5 ,1.289,0.06689,1.4596374593675137,1.0,1.0,1,0,0
2019/10/09,07:18:20.0,285500.0,G05,50.000,34.5 ,1.422,0.16708,1.279387529939413,1.0,1.0,1,0,0
2019/10/09,07:18:21.0,285501.0,G05,50.000,34.5 ,1.435,0.02405,1.5098580308258533,1.0,1.0,1,0,0
2019/10/09,07:18:22.0,285502.0,G05,50.000,34.5 ,1.526,0.2875,1.6541225984692574,1.0,1.0,1,0,0
2019/10/09,07:18:23.0,285503.0,G05,50.000,34.5 ,1.671,0.02206,1.7356338240206242,1.0,1.0,1,0,0
2019/10/09,07:18:24.0,285504.0,G05,50.000,34.5 ,1.559,0.01051,1.435667384415865,1.0,1.0,1,0,0
2019/10/09,07:18:25.0,285505.0,G05,50.000,34.5 ,1.679,0.01332,1.2686116509139538,1.0,1.0,1,0,0
2019/10/09,07:18:26.0,285506.0,G05,50.000,34.5 ,1.637,0.06455,1.2395269200205803,1.0,1.0,1,0,0
2019/10/09,07:18:27.0,285507.0,G05,50.000,34.5 ,1.557,0.03677,1.0585933811962605,0.0,1.0,1,0,0
2019/10/09,07:18:28.0,285508.0,G05,50.000,34.5 ,1.395,0.09732,0.7348696775734425,0.0,1.0,1,0,0
2019/10/09,07:18:29.0,285509.0,G05,50.000,34.5 ,1.19,0.48513,0.18114760890603065,0.0,1.0,1,0,0
2019/10/09,07:18:30.0,285510.0,G05,50.000,34.5 ,1.097,0.0081,0.40655555203557014,0.0,1.0,1,0,0
2019/10/09,07:18:31.0,285511.0,G05,50.000,34.5 ,1.089,0.16001,0.645622007548809,0.0,1.0,1,0,0
